type,x,y,width,height
wall,0,-5,1000,10
wall,995,0,10,600
wall,0,595,1000,10
wall,-5,0,10,600
wall,270,170,300,10
wall,270,180,10,200
wall,280,370,100,10
wall,430,370,150,10
wall,570,170,10,200
wall,510,180,10,50
wall,580,290,200,10
wall,870,90,10,505
wall,895,505,90,10
wall,880,295,100,10
wall,430,483,440,10
wall,120,38,10,557
wall,55,38,10,557
wall,130,38,450,10
wall,270,483,10,112
wall,280,483,100,10
wall,664,5,10,285
item,72,556,40,40
item,10,556,40,40
item,912,515,40,40
item,602,250,40,40
door,520,180,50,50
ghost,940,20,50,50
ghost,805,513,50,50
ghost,587,235,50,50
