type,x,y,width,height,texture
wall,0,0,1000,10,#361a00
wall,0,590,1000,10,#361a00
wall,0,0,10,600,#361a00
wall,990,0,10,600,#361a00
wall,100,100,800,10,#361a00
wall,200,200,10,300,#361a00
wall,400,150,10,250,#361a00
wall,600,200,300,10,#361a00
wall,800,220,10,150,#361a00
wall,650,400,150,10,#361a00
wall,300,500,400,10,#361a00
wall,150,300,200,10,#361a00
wall,500,250,10,150,#361a00
wall,750,300,10,200,#361a00
wall,850,100,10,200,#361a00
wall,900,350,80,10,#361a00
wall,250,400,150,10,#361a00
wall,50,200,10,300,#361a00
wall,50,50,200,10,#361a00
wall,300,100,10,80,#361a00
wall,500,100,10,80,#361a00
wall,700,100,10,80,#361a00
wall,100,400,10,180,#361a00
wall,350,300,10,100,#361a00
wall,550,300,10,100,#361a00
wall,750,100,10,80,#361a00
wall,900,100,10,80,#361a00
wall,150,500,10,80,#361a00
wall,450,500,10,80,#361a00
wall,650,500,10,80,#361a00
wall,850,500,10,80,#361a00
wall,200,100,10,80,#361a00
wall,400,100,10,80,#361a00
wall,600,100,10,80,#361a00
wall,800,100,10,80,#361a00
wall,100,200,10,80,#361a00
wall,300,200,10,80,#361a00
wall,500,200,10,80,#361a00
wall,700,200,10,80,#361a00
wall,900,200,10,80,#361a00
wall,150,300,10,80,#361a00
wall,350,300,10,80,#361a00
wall,550,300,10,80,#361a00
wall,750,300,10,80,#361a00
wall,950,300,10,80,#361a00
wall,200,400,10,80,#361a00
wall,400,400,10,80,#361a00
wall,600,400,10,80,#361a00
wall,800,400,10,80,#361a00
wall,100,500,10,80,#361a00
wall,300,500,10,80,#361a00
wall,500,500,10,80,#361a00
wall,700,500,10,80,#361a00
wall,900,500,10,80,#361a00
door,950,550,50,50,file:src/resources/textures/items/Door.png
item,250,350,40,40,file:src/resources/textures/items/Key.png
item,650,450,40,40,file:src/resources/textures/items/Key.png
item,850,150,40,40,file:src/resources/textures/items/Key.png
